Latitude,Longitude,Rain_Mean,Rain_Max,Rain_STD,Landslide,dist_to_rivers,dist_to_roads,dist_to_streams,dominant_lulc,litho_clay,litho_iron_oxide,lulc_change_frequency,lulc_stability,moisture_features,moisture_pca,ndvi_monsoon_mean,ndvi_pre_mean,ndvi_std,soil_bulk_density,soil_clay_content_pct,soil_organic_carbon,soil_sand_content_pct,soil_texture_0cm,terrain_aspect,terrain_aspect_cos,terrain_aspect_sin,terrain_elevation,terrain_hillshade,terrain_roughness,terrain_slope,terrain_slope_radians,terrain_tpi,twi,vegetation_persistence,label
25.1108,92.939526,6.498598,177.06258,13.098291,1,306.47226,,,1,0.9227799,0.20322712,0,1,24.620478,-1059.0718,0.56242454,0.365296,0.13906771,135,27,5,44,7,312.16055,0.6712103,-0.74126697,286,217,58,16.140837,0.28171074,4.8024693,1.2399198,1,1
23.85165247,93.02271102,5.276840687,165.9231873,10.81751919,0,1421.801636,,,0,0,0,0,0,24.57744598,1.113110542,0,0,0,114,30,5,41,4,42.0008316,0.743135095,0.669141412,827,138,141,20.32021332,0.35465461,-4.70370388,2.09202075,0,0
24.06053781,93.27133828,4.521286964,117.378624,8.906289101,0,178.8805237,,,0,0,0,0,0,24.17299652,-2295.876465,0,0,0,121,28,5,40,4,324.4918213,0.814032674,-0.58081907,566,255,243,52.69540405,0.919708312,-2.666666746,0.421236902,0,0
24.25281697,93.25163424,4.26690197,120.2972412,8.938105583,0,208.8728027,,,0,0,0,0,0,24.54620743,-6590.244141,0,0,0,118,26,7,42,7,357.3833923,0.998957396,-0.045652509,551,183,122,21.25165558,0.37091136,-17.82715988,3.429308891,0,0
24.55193851,92.72658003,7.0432477,182.6837616,14.10465431,0,44.99155807,,,0,0,0,0,0,24.9494133,2.026648045,0,0,0,130,26,3,49,6,301.2322083,0.518507659,-0.855072975,42,199,18,7.118229866,0.124236546,-0.061728396,5.4126091,0,0
24.91051343,92.93013138,6.498598099,177.0625763,13.0982914,0,437.3262939,,,0,0,0,0,0,24.62108231,1.08183217,0,0,0,131,26,4,46,7,331.1325684,0.875739098,-0.482784718,31,184,7,2.117225885,0.036952563,-0.469135791,3.297664881,0,0
25.049444,92.79725,6.313474,218.64168,14.259439,1,123.79041,,,1,0.3188406,0.3522652,0,1,24.70667,1.5124992,0.40740243,0.32172462,0.25137246,134,28,7,42,4,357.25235,0.99885035,-0.04793711,110,183,118,20.442802,0.3567942,-11.654321,0.9868547,1,1
23.54284398,92.74026294,5.581044197,174.4110107,11.92720222,0,558.0637207,,,0,0,0,0,0,24.43935966,-2429.982422,0,0,0,120,31,7,42,4,28.60795212,0.877916515,0.478813708,609,156,81,16.43719673,0.286883205,-0.074074075,3.012466192,0,0
23.86576897,93.05014236,5.276840687,165.9231873,10.81751919,0,725.1104736,,,0,0,0,0,0,24.57744598,-6140.849121,0,0,0,121,30,8,41,4,317.0933838,0.732464373,-0.680805385,638,230,131,23.84583282,0.41618827,7.740740776,0.816426337,0,0
24.71814845,92.99927679,6.705462456,176.0697021,12.99530125,0,1277.218506,,,0,0,0,0,0,24.79165649,1.467872381,0,0,0,128,27,3,43,7,216.2753296,-0.806183219,-0.591665983,32,187,24,3.447249413,0.060165852,-4.45678997,2.809442759,0,0
25.18063009,93.00240366,5.058266163,140.5547333,10.93180943,0,591.6737061,,,1,0.850000024,0.212273017,0,1,24.47504044,0.319001585,0.609264553,0.416244656,0.183896735,123,30,5,42,4,229.1197205,-0.654480636,-0.75607878,686,245,135,28.55250549,0.498335242,-7.530864239,1.301690698,1,0
25.212722,93.12891667,4.3167205,81.07775,8.121754,1,982.5112,,,1,0.9147287,0.27006093,0,1,24.426262,-2456.2925,0.6345448,0.26023746,0.26534003,125,29,3,42,4,351.02707,0.98776215,-0.1559676,652,187,81,12.922102,0.22553322,4.1975307,2.570741,1,1
23.9021649,93.0744595,5.613379955,119.8069992,10.48300457,0,920.0163574,,,0,0,0,0,0,24.55985451,-3217.512451,0,0,0,124,29,6,40,4,271.2180176,0.021256551,-0.999774039,733,255,201,37.29082108,0.650847614,17.13580322,0.965556204,0,0
25.18325,93.08208333,5.058266,140.55473,10.931809,1,63.802254,,,1,0.8913044,0.06627893,0,1,24.47504,0.3190016,0.41822013,0.24196261,0.20059605,117,29,5,44,4,286.78595,0.28879708,-0.9573903,488,235,75,18.588535,0.32443115,-2.308642,5.6330037,1,1
25.26652073,92.72675326,5.337397575,203.0103149,13.65210438,0,136.3287964,,,1,0.89864862,0.705825865,0,1,23.54673386,-4.966130257,0.63803786,0.592082202,0.22610718,107,28,8,39,4,2.110942364,0.999321401,0.03683456,1072,177,127,25.91803169,0.452354997,1.61728394,0.721623003,1,0
24.10173444,92.85550474,6.147308826,120.0563049,11.76743507,0,306.4977112,,,0,0,0,0,0,24.85570908,1.504947901,0,0,0,130,32,10,41,4,77.14492035,0.222485811,0.974935949,86,143,65,12.31316662,0.214905292,-4.283950806,3.467905045,0,0
25.59989089,92.77347159,3.663917065,113.2145691,8.860953331,0,1188.795532,,,1,0.921568632,0.281895936,0,1,23.96045113,-2.173884153,0.780053616,0.514924347,0.180321515,126,32,6,39,4,352.1087341,0.990530372,-0.137293801,356,184,22,7.448615074,0.130002856,-5.271605015,2.034543037,1,0
24.15321823,92.72884935,6.955244064,180.9825592,13.6238327,0,164.9719391,,,0,0,0,0,0,24.8645153,1.468086481,0,0,0,133,32,7,43,4,104.6118317,-0.252269208,0.967657089,234,158,57,7.313207626,0.127639547,8.740740776,7.109339237,0,0
24.15553774,92.91235824,6.281581879,179.5934448,12.86236763,0,224.963623,,,0,0,0,0,0,24.86441803,-1392.755737,0,0,0,129,31,6,42,4,174.3102112,-0.995073259,0.09914232,344,174,122,19.69199371,0.343690127,8.777777672,1.720664978,0,0
25.738489,92.69217362,3.019148111,101.1241226,8.912324905,0,135.7052155,,,1,0.833024144,0.1296345,0,1,23.87322807,-3657.048096,0.688849628,0.477503598,0.177720398,119,31,8,41,4,8.239217758,0.989678383,0.143306389,406,171,73,20.61638641,0.359823823,-2.913580179,3.685679913,1,0
25.76309517,92.69185834,3.019148111,101.1241226,8.912324905,0,561.644043,,,1,0.862637341,0.261767685,0,1,23.87322807,-3727.212891,0.792527258,0.50043112,0.198464215,125,30,7,42,4,298.3849792,0.475393802,-0.87977314,226,212,55,11.5470562,0.201534152,5.320987701,3.667569399,1,0
25.25997215,92.65768791,5.337397575,203.0103149,13.65210438,0,974.7808228,,,1,0.899999976,0.816220522,0,1,24.32183838,-5062.141602,0.547819257,0.615887642,0.190569893,98,27,8,38,7,304.1485291,0.561340272,-0.827585101,1413,206,51,9.816483498,0.17132996,1.38271606,1.754311681,1,0
25.417528,93.372528,3.6494102,109.26363,7.7344284,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25.108806,92.975139,6.498598,177.06258,13.098291,1,224.95432,,,1,0.8214286,0.3705449,0,1,24.803099,-3151.6118,0.67305297,0.5194567,0.18248977,122,28,5,46,6,333.857,0.8976971,-0.44061312,367,205,78,17.982702,0.31385738,-10.481482,1.1252049,1,1
24.92582783,93.03642409,6.498598099,177.0625763,13.0982914,0,104.9795303,,,0,0,0,0,0,24.53082275,-6252.062012,0,0,0,121,28,6,42,4,257.2261963,-0.221102491,-0.975250602,60,193,29,4.187375069,0.073083483,7.345678806,6.741504669,0,0
24.65612871,92.88592323,6.705462456,176.0697021,12.99530125,0,381.2020264,,,0,0,0,0,0,24.83848953,-6036.536133,0,0,0,124,30,4,42,4,301.2110596,0.518192053,-0.855264246,26,190,8,3.575071812,0.062396772,-2.469135761,2.772942781,0,0
24.0948397,92.62196784,5.973514557,123.3846817,12.03340054,0,2403.390381,,,0,0,0,0,0,-4050.942383,0.843270004,0,0,0,118,28,7,43,4,169.653244,-0.98373878,0.179605141,218,177,72,5.638659477,0.098413177,9.024691582,3.008491993,0,0
24.34895903,93.24248403,4.26690197,120.2972412,8.938105583,0,1544.727783,,,0,0,0,0,0,24.51969147,-6874.408691,0,0,0,123,29,6,40,4,249.9772186,-0.342393875,-0.939556539,491,240,79,20.71790695,0.36159569,1.370370388,2.764023542,0,0
23.66092785,92.85930548,5.69139576,164.4915009,11.8796072,0,1621.972778,,,0,0,0,0,0,24.51340675,-8837.765625,0,0,0,127,34,9,37,4,230.3513489,-0.638078034,-0.769971669,883,241,93,25.73508835,0.449162036,-11.33333302,0.729765594,0,0
24.93257971,92.81723442,6.313474178,218.6416779,14.25943947,0,998.0310059,,,0,0,0,0,0,24.570364,0.889960051,0,0,0,117,29,8,46,6,270,-1.84E-16,-1,71,187,10,2.04475522,0.035687711,1.395061731,3.3325243,0,0
25.38188584,92.64128605,3.663917065,113.2145691,8.860953331,0,1058.290039,,,1,0.888888896,0.325367182,0,1,23.62193108,-3.651027679,0.667419553,0.521715999,0.183086008,114,33,6,37,4,329.2053833,0.859007955,-0.511962235,882,202,74,13.76529789,0.240249783,-8.567901611,1.406572819,1,0
24.41020823,92.96220477,6.233271122,178.0205536,12.65318203,0,1489.200439,,,0,0,0,0,0,24.98435211,-8962.96875,0,0,0,116,26,8,48,6,232.1991119,-0.612919331,-0.790145457,291,254,149,31.27664757,0.545880497,-24.90123367,1.884777427,0,0
25.08478346,93.11743096,6.498598099,177.0625763,13.0982914,0,694.2004395,,,1,0.816901386,0.390073746,0,1,24.62220001,0.831800401,0.632278383,0.441651016,0.206611395,125,32,5,39,4,129.4661713,-0.635622561,0.771999955,887,146,135,14.28811169,0.249374583,23.81481552,1.367763758,1,0
25.14,93.3,4.3167205,81.07775,8.121754,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24.823271,93.17578483,4.063409805,107.7856903,8.923542976,0,184.4468842,,,0,0,0,0,0,24.72949409,-47.32097244,0,0,0,133,24,4,46,7,61.4288826,0.478249222,0.878224194,40,164,18,5.798165321,0.101197071,-0.629629612,4.48448801,0,0
24.44006755,93.20265396,4.01793766,114.1840515,8.679642677,0,1620.660522,,,0,0,0,0,0,24.84065819,-5769.743164,0,0,0,120,29,5,43,4,312.3145752,0.673200607,-0.739459872,438,196,57,6.855759144,0.119655572,20.86419678,2.118349314,0,0
24.90794008,93.12635364,4.788415909,115.8653259,9.865618706,0,719.2937012,,,0,0,0,0,0,24.52894592,0.510050893,0,0,0,116,26,5,44,7,227.79245,-0.671818197,-0.74071604,80,199,33,8.226411819,0.143577963,4.074074268,1.933972239,0,0
24.34960097,92.65632078,6.955244064,180.9825592,13.6238327,0,404.1053467,,,0,0,0,0,0,25.03199005,-6186.733887,0,0,0,121,26,8,46,7,230.6501923,-0.63405323,-0.773289382,71,212,41,12.94054985,0.225855201,-3.740740776,2.163799524,0,0
24.12677069,92.97694707,6.281581879,179.5934448,12.86236763,0,0,,0,0,0,0,0,0,24.74282837,1.205422997,0,0,0,128,29,5,43,4,182.1638031,-0.99928695,-0.037756503,116,183,110,25.16321373,0.43918094,-0.209876537,10.8565979,0,0
25.43220092,92.99781581,3.678948402,110.8394699,8.344592094,0,0,,0,1,0.874213815,0.199815869,0,1,18.59237862,-6153.864258,0.669027865,0.371259004,0.233899906,128,27,5,46,7,279.0550537,0.157383382,-0.987537563,139,233,110,17.14849663,0.29929775,-14.70370388,9.411176682,1,0
24.36360315,92.72825888,6.955244064,180.9825592,13.6238327,0,1072.33252,,,0,0,0,0,0,25.03664398,2.467339993,0,0,0,123,29,10,45,6,345.7843628,0.969378352,-0.245571896,323,190,58,12.24821281,0.213771641,-11.85185146,2.22059679,0,0
25.57838079,93.03609249,3.678948402,110.8394699,8.344592094,0,21.26666832,,,1,0.90196079,0.217601687,0,1,20.17174149,-17.36856079,0.775221705,0.486151367,0.192641824,126,26,4,42,7,15.49141216,0.963670492,0.267093927,151,177,15,3.844048023,0.067091294,-1.740740776,7.274909973,1,0
24.38746653,92.61488197,7.033265114,188.9328308,14.82791424,0,,,,0,0,0,0,0,-9999,-4070.025146,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,0,0
23.93346537,92.85568685,6.147308826,120.0563049,11.76743507,0,44.99308395,,,0,0,0,0,0,24.5682869,-8685.599609,0,0,0,128,28,6,44,6,278.6616516,0.150598943,-0.988594949,270,255,106,28.25564384,0.493154019,-2.432098866,3.916763306,0,0
25.176944,93.07716667,5.058266,140.55473,10.931809,1,276.4766,,,1,0.8173913,0.20707552,0,1,24.47504,0.3190016,0.4668788,0.29264015,0.19387902,129,28,5,43,4,180,-1,1.22E-16,473,180,31,2.7802885,0.048525188,9.012345,3.718034,1,1
25.38009348,93.18035876,3.649410248,109.2636337,7.734428406,0,314.9309387,,,1,0.865079343,0.288660169,0,1,19.23137093,-1577.702148,0.718602538,0.465808749,0.246186882,129,30,5,41,4,213.5880127,-0.833037078,-0.553217173,296,208,46,16.25053215,0.283625305,7.950617313,2.619066238,1,0
25.68174986,92.65130095,3.019148111,101.1241226,8.912324905,0,14.9963398,,,1,0.846374869,0.055827621,2,0.600000024,24.75296021,-6557.143066,0.597938418,0.380745262,0.213962778,120,33,5,39,4,201.6179352,-0.929661214,-0.368415534,677,196,50,13.70010567,0.239111945,-6.407407284,4.119556904,1,0
24.94121994,92.80391619,6.313474178,218.6416779,14.25943947,0,256.3615723,,,0,0,0,0,0,24.14823151,-812.5897217,0,0,0,126,29,5,42,4,270,-1.84E-16,-1,26,190,7,3.065720797,0.053506922,1.358024716,3.620136499,0,0
23.79924979,92.9122307,5.276840687,165.9231873,10.81751919,0,769.2033081,,,0,0,0,0,0,24.55545807,-3464.858643,0,0,0,115,32,6,39,4,273.08078,0.053743716,-0.998554766,892,232,100,16.76246071,0.29256013,6.765431881,1.893117905,0,0
25.61092,93.09178,3.6789484,110.83947,8.344592,1,194.95578,,,1,0.8694943,0.12606421,0,1,21.41948,-4783.6997,0.6856827,0.3717373,0.21766642,130,27,4,43,7,29.007412,0.87455696,0.48492277,237,177,37,2.120085,0.037002467,1.4444444,8.023702,1,1
